rank,family,variant,rebalance,requested_range,actual_range,net_perf_pct,cagr_pct,max_drawdown_pct,sharpe,positions,win_rate_pct,avg_trade_pct,median_trade_days,soxl_return_pct,soxl_max_drawdown_pct,tqqq_return_pct,tqqq_max_drawdown_pct,soxl_only_net_pct,soxl_only_max_drawdown_pct,excess_vs_soxl_only_pct,beats_soxl_only,notes
10894,Relative momentum rotation,"252d return_over_vol, skip 10d, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2011-03-25 to 2026-05-20,35686.76,47.41,-89.71,0.91,52,57.69,28.89,32.5,19966.99,-90.46,18568.82,-81.66,26760.55,-66.18,8926.21,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10895,Relative momentum rotation,"168d return_minus_half_vol, skip 10d, chosen/alternate above SMA100, 2% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-11-23 to 2026-05-20,45041.05,48.39,-81.32,0.91,138,58.7,9.33,14.0,26955.49,-90.46,23786.23,-81.66,36114.97,-66.18,8926.08,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10896,Relative momentum rotation,"252d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 5% hysteresis, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2011-04-11 to 2026-05-20,35908.2,47.64,-82.98,0.91,214,57.94,5.59,4.0,20134.09,-90.46,18677.95,-81.66,26984.22,-66.18,8923.98,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10897,Relative momentum rotation,"126d return_minus_vol, skip 21d, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-10-11 to 2026-05-20,49992.53,48.94,-81.66,0.92,28,75.0,35.42,165.0,35677.33,-90.46,27026.23,-81.66,41069.8,-66.18,8922.73,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10898,Relative momentum rotation,"10d return_minus_half_vol, skip 5d, chosen/alternate above SMA100, 2% hysteresis",daily,2010-03-11 to 2026-05-20,2010-04-05 to 2026-05-20,57381.4,48.3,-81.38,0.93,247,61.94,3.61,8.0,24609.95,-90.46,26895.65,-81.66,48461.05,-66.18,8920.35,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10899,Relative momentum rotation,"63d return_minus_vol, skip 5d, chosen/alternate above SMA200, 5% hysteresis, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-06-18 to 2026-05-20,49984.27,47.77,-83.59,0.92,98,62.24,10.99,21.0,28494.28,-90.46,31064.39,-81.66,41069.8,-66.18,8914.47,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10900,Relative momentum rotation,"105d return_minus_vol, skip 5d, chosen/alternate above SMA100, 5% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-08-18 to 2026-05-20,49983.24,48.38,-84.36,0.92,108,58.33,11.77,15.0,41485.07,-90.46,35114.25,-81.66,41069.8,-66.18,8913.44,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10901,Relative momentum rotation,"5d return, chosen/alternate above SMA100",monthly,2010-03-11 to 2026-05-20,2010-03-19 to 2026-05-20,57372.82,48.13,-91.34,0.9,88,62.5,10.98,57.5,29153.31,-90.46,28822.49,-81.66,48461.05,-66.18,8911.76,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10902,Relative momentum rotation,"63d return_minus_vol, skip 5d, chosen/alternate above SMA200, 5% hysteresis",daily,2010-03-11 to 2026-05-20,2010-06-18 to 2026-05-20,49966.6,47.76,-84.29,0.92,96,64.58,8.95,17.0,28494.28,-90.46,31064.39,-81.66,41069.8,-66.18,8896.8,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10903,Relative momentum rotation,"126d return, chosen/alternate above SMA50, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,49957.12,48.61,-86.02,0.91,64,54.69,23.14,32.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,8887.33,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10904,Relative momentum rotation,"126d return_over_vol, skip 10d, chosen/alternate above SMA50, 2% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,49948.84,48.75,-88.36,0.91,132,49.24,10.73,14.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,8879.04,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10905,Relative momentum rotation,"189d return_over_vol, skip 21d, chosen/alternate above SMA50, 2% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2011-01-10 to 2026-05-20,35716.85,46.66,-89.93,0.9,64,54.69,22.23,33.0,20027.1,-90.46,19053.49,-81.66,26841.02,-66.18,8875.83,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10906,Relative momentum rotation,"126d return_minus_half_vol, skip 5d, chosen/alternate above SMA50, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2010-09-17 to 2026-05-20,49926.52,48.67,-85.52,0.92,276,54.35,4.52,5.0,41319.15,-90.46,29985.02,-81.66,41069.8,-66.18,8856.72,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10907,Relative momentum rotation,"105d return_over_vol, chosen/alternate above SMA50, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49925.52,48.3,-87.0,0.91,86,59.3,15.34,29.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8855.72,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10908,Relative momentum rotation,"42d return_minus_half_vol, skip 10d, chosen/alternate above SMA50, 2% hysteresis, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-05-26 to 2026-05-20,57313.95,48.8,-88.41,0.93,152,60.53,7.56,14.0,34537.35,-90.46,36910.51,-81.66,48461.05,-66.18,8852.9,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10909,Relative momentum rotation,"10d return_minus_vol, skip 5d, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-04-05 to 2026-05-20,57312.83,48.29,-79.45,0.94,145,54.48,9.34,8.0,24609.95,-90.46,26895.65,-81.66,48461.05,-66.18,8851.77,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10910,Relative momentum rotation,"189d return_over_vol, skip 21d, chosen/alternate above SMA200, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2011-01-10 to 2026-05-20,35692.3,46.66,-89.3,0.89,30,73.33,33.87,152.5,20027.1,-90.46,19053.49,-81.66,26841.02,-66.18,8851.29,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10911,Relative momentum rotation,"105d return_minus_vol, skip 5d, 5% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-08-18 to 2026-05-20,49918.53,48.37,-83.76,0.92,86,54.65,15.01,18.0,41485.07,-90.46,35114.25,-81.66,41069.8,-66.18,8848.73,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10912,Relative momentum rotation,"105d return_minus_vol, skip 5d, 2% hysteresis, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-08-18 to 2026-05-20,49916.89,48.37,-84.63,0.92,122,66.39,9.28,10.0,41485.07,-90.46,35114.25,-81.66,41069.8,-66.18,8847.09,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10913,Relative momentum rotation,"10d return_minus_vol, skip 5d, chosen/alternate above SMA200, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-04-05 to 2026-05-20,57307.27,48.29,-81.34,0.94,36,69.44,33.9,40.5,24609.95,-90.46,26895.65,-81.66,48461.05,-66.18,8846.22,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10914,Relative momentum rotation,"126d return_minus_vol, skip 21d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-10-11 to 2026-05-20,49912.25,48.92,-80.95,0.92,272,52.21,4.84,4.0,35677.33,-90.46,27026.23,-81.66,41069.8,-66.18,8842.45,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10915,Relative momentum rotation,"84d return_over_vol, skip 10d, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-07-27 to 2026-05-20,49911.43,48.14,-89.31,0.9,175,46.29,8.12,4.0,30591.6,-90.46,32902.12,-81.66,41069.8,-66.18,8841.63,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10916,Relative momentum rotation,"252d return_over_vol, skip 21d, chosen/alternate above SMA100, 2% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2011-04-11 to 2026-05-20,35814.93,47.62,-88.48,0.91,80,57.5,15.65,28.0,20134.09,-90.46,18677.95,-81.66,26984.22,-66.18,8830.71,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10917,Relative momentum rotation,"10d return_minus_vol, skip 5d, chosen/alternate above SMA100, 2% hysteresis",weekly,2010-03-11 to 2026-05-20,2010-04-05 to 2026-05-20,57291.27,48.29,-81.15,0.94,91,69.23,12.21,20.0,24609.95,-90.46,26895.65,-81.66,48461.05,-66.18,8830.22,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10918,Relative momentum rotation,"84d return_minus_half_vol, skip 10d, chosen/alternate above SMA50, 5% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-07-27 to 2026-05-20,49895.03,48.14,-85.62,0.91,78,55.13,15.43,33.5,30591.6,-90.46,32902.12,-81.66,41069.8,-66.18,8825.23,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10919,Relative momentum rotation,"10d return_over_vol, chosen/alternate above SMA200, 2% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-03-26 to 2026-05-20,57282.0,48.19,-92.23,0.9,118,51.69,10.15,30.0,27606.54,-90.46,27913.35,-81.66,48461.05,-66.18,8820.95,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10920,Relative momentum rotation,"105d return, chosen/alternate above SMA100, 5% hysteresis, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49883.73,48.29,-89.21,0.91,116,53.45,13.71,13.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8813.93,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10921,Relative momentum rotation,"21d return_minus_vol, skip 10d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-04-27 to 2026-05-20,57271.73,48.51,-81.86,0.94,200,45.5,5.9,6.0,23156.12,-90.46,25804.86,-81.66,48461.05,-66.18,8810.68,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10922,Relative momentum rotation,"105d return_over_vol, chosen/alternate above SMA100",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49880.2,48.29,-87.24,0.91,36,72.22,31.43,151.5,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8810.4,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10923,Relative momentum rotation,"84d return_minus_vol, skip 21d, chosen/alternate above SMA50, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49875.46,48.29,-81.6,0.93,37,67.57,25.02,89.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8805.66,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10924,Relative momentum rotation,"5d return, chosen/alternate above SMA100, 2% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-03-19 to 2026-05-20,57263.74,48.12,-76.88,0.9,378,60.32,2.74,14.0,29153.31,-90.46,28822.49,-81.66,48461.05,-66.18,8802.69,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10925,Relative momentum rotation,105d return_minus_half_vol,weekly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49867.62,48.29,-84.29,0.91,62,67.74,16.39,42.5,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8797.82,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10926,Relative momentum rotation,"126d return_over_vol, chosen/alternate above SMA50, 2% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,49866.49,48.59,-91.71,0.91,58,56.9,25.67,32.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,8796.69,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10927,Relative momentum rotation,"5d return_minus_vol, skip 5d, chosen/alternate above SMA200, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-04-01 to 2026-05-20,57255.93,48.24,-81.34,0.94,34,67.65,39.3,32.5,26702.95,-90.46,27676.15,-81.66,48461.05,-66.18,8794.87,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10928,Relative momentum rotation,"10d return_minus_vol, skip 5d, chosen/alternate above SMA50, 5% hysteresis, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-04-05 to 2026-05-20,57252.66,48.28,-78.26,0.94,247,55.06,4.1,6.0,24609.95,-90.46,26895.65,-81.66,48461.05,-66.18,8791.61,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10929,Relative momentum rotation,"126d return_minus_vol, chosen/alternate above SMA200, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,49860.95,48.59,-81.71,0.92,114,50.0,11.13,14.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,8791.16,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10930,Relative momentum rotation,"189d return_over_vol, skip 21d, chosen/alternate above SMA50, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2011-01-10 to 2026-05-20,35629.1,46.64,-86.24,0.89,396,51.52,2.8,4.0,20027.1,-90.46,19053.49,-81.66,26841.02,-66.18,8788.08,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10931,Relative momentum rotation,"252d return_over_vol, skip 5d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2011-03-18 to 2026-05-20,38854.46,48.16,-87.21,0.91,196,50.51,6.91,5.5,22438.23,-90.46,21093.92,-81.66,30068.42,-66.18,8786.03,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10932,Relative momentum rotation,"126d return_over_vol, skip 10d, 2% hysteresis, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,49855.81,48.73,-90.03,0.91,98,48.98,13.75,14.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,8786.01,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10933,Relative momentum rotation,"105d return_over_vol, skip 5d, chosen/alternate above SMA200, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-08-18 to 2026-05-20,49853.77,48.35,-90.59,0.91,36,69.44,32.67,130.0,41485.07,-90.46,35114.25,-81.66,41069.8,-66.18,8783.97,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10934,Relative momentum rotation,"252d return_over_vol, skip 21d, chosen/alternate above SMA50, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2011-04-11 to 2026-05-20,35762.66,47.6,-87.41,0.91,118,49.15,12.05,6.5,20134.09,-90.46,18677.95,-81.66,26984.22,-66.18,8778.44,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10935,Relative momentum rotation,"42d return_minus_vol, skip 21d, chosen/alternate above SMA50, 2% hysteresis, switch on 20% stop",daily,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,50616.75,47.81,-81.47,0.93,253,57.31,4.29,6.0,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,8762.5,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10936,Relative momentum rotation,"84d return_minus_vol, skip 21d, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49829.71,48.28,-82.99,0.93,57,57.89,21.61,48.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8759.91,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10937,Relative momentum rotation,"63d return_minus_vol, skip 5d, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2010-06-18 to 2026-05-20,49829.32,47.74,-83.38,0.93,186,61.29,5.46,7.0,28494.28,-90.46,31064.39,-81.66,41069.8,-66.18,8759.52,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10938,Relative momentum rotation,"84d return_over_vol, skip 21d, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49826.54,48.28,-91.01,0.91,223,52.02,5.78,7.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8756.74,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10939,Relative momentum rotation,"21d return_minus_half_vol, skip 10d, chosen/alternate above SMA50, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-04-27 to 2026-05-20,57210.73,48.5,-88.32,0.93,62,62.9,15.96,60.5,23156.12,-90.46,25804.86,-81.66,48461.05,-66.18,8749.68,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10940,Relative momentum rotation,"42d return, chosen/alternate above SMA200",weekly,2010-03-11 to 2026-05-20,2010-05-12 to 2026-05-20,57210.03,48.65,-86.36,0.91,119,65.55,9.11,27.0,26300.29,-90.46,27559.06,-81.66,48461.05,-66.18,8748.97,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10941,Relative momentum rotation,"5d return_minus_vol, chosen/alternate above SMA50, 5% hysteresis",daily,2010-03-11 to 2026-05-20,2010-03-25 to 2026-05-20,57209.91,48.17,-82.13,0.94,187,61.5,4.83,6.0,27170.01,-90.46,28059.23,-81.66,48461.05,-66.18,8748.85,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10942,Relative momentum rotation,"84d return_minus_vol, skip 21d, chosen/alternate above SMA50, 2% hysteresis, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49818.16,48.28,-82.44,0.92,266,56.77,3.92,5.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8748.37,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10943,Relative momentum rotation,"21d return_minus_half_vol, skip 10d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-04-27 to 2026-05-20,57207.81,48.5,-82.23,0.93,246,48.37,4.5,8.0,23156.12,-90.46,25804.86,-81.66,48461.05,-66.18,8746.76,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10944,Relative momentum rotation,"168d return_over_vol, skip 10d, chosen/alternate above SMA100",monthly,2010-03-11 to 2026-05-20,2010-11-23 to 2026-05-20,44861.43,48.35,-89.21,0.91,40,70.0,26.37,90.5,26955.49,-90.46,23786.23,-81.66,36114.97,-66.18,8746.46,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10945,Relative momentum rotation,"126d return_minus_vol, skip 10d, chosen/alternate above SMA50, 5% hysteresis",daily,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,49815.1,48.73,-83.72,0.92,190,57.37,4.65,7.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,8745.3,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10946,Relative momentum rotation,"126d return_minus_vol, 5% hysteresis, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,49814.76,48.58,-82.29,0.92,78,57.69,16.45,21.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,8744.96,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10947,Relative momentum rotation,"21d return_minus_vol, chosen/alternate above SMA100, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-04-13 to 2026-05-20,57193.64,48.35,-81.5,0.94,52,63.46,27.42,33.0,23913.91,-90.46,25776.55,-81.66,48461.05,-66.18,8732.59,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10948,Relative momentum rotation,"105d return_minus_vol, chosen/alternate above SMA200, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49799.3,48.27,-80.69,0.92,84,58.33,14.55,28.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8729.5,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10949,Relative momentum rotation,"126d return_minus_half_vol, chosen/alternate above SMA50, switch on 30% stop",weekly,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,49798.22,48.58,-85.13,0.92,110,63.64,13.03,14.5,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,8728.42,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10950,Relative momentum rotation,"10d return_minus_vol, skip 21d, chosen/alternate above SMA100, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-04-27 to 2026-05-20,57182.44,48.49,-83.44,0.94,61,62.3,22.71,33.0,23156.12,-90.46,25804.86,-81.66,48461.05,-66.18,8721.39,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10951,Relative momentum rotation,"126d return, skip 10d, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,49788.65,48.72,-86.33,0.91,196,53.57,7.73,6.0,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,8718.85,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10952,Relative momentum rotation,"252d return_over_vol, skip 21d, chosen/alternate above SMA100, 5% hysteresis",weekly,2010-03-11 to 2026-05-20,2011-04-11 to 2026-05-20,35702.6,47.59,-89.11,0.91,92,70.65,9.21,14.0,20134.09,-90.46,18677.95,-81.66,26984.22,-66.18,8718.38,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10953,Relative momentum rotation,"168d return_over_vol, skip 21d, chosen/alternate above SMA100, 2% hysteresis",weekly,2010-03-11 to 2026-05-20,2010-12-09 to 2026-05-20,38172.72,46.97,-88.68,0.89,100,64.0,10.19,14.0,21980.67,-90.46,21265.73,-81.66,29455.96,-66.18,8716.76,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10954,Momentum pullback rotation,"84d leader fallback, buy weaker 10d pullback, pullback asset positive long momentum, switch on 20% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,49785.69,47.98,-85.21,0.92,276,60.14,3.96,14.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,8715.89,True,Mean-reversion entry inside a longer momentum framework; prior-close signal; no costs/slippage.
10955,Relative momentum rotation,"84d return_minus_vol, skip 21d, 2% hysteresis",daily,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49783.56,48.27,-83.28,0.92,88,62.5,10.02,13.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8713.76,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10956,Relative momentum rotation,"84d return, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,49780.2,47.98,-89.83,0.9,93,54.84,15.8,28.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,8710.4,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10957,Relative momentum rotation,"126d return, chosen/alternate above SMA100, switch on 30% stop",daily,2010-03-11 to 2026-05-20,2010-09-10 to 2026-05-20,49779.29,48.57,-89.29,0.91,220,55.91,6.46,5.0,48324.75,-90.46,33054.58,-81.66,41069.8,-66.18,8709.49,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10958,Relative momentum rotation,"10d return_minus_vol, chosen/alternate above SMA200, 2% hysteresis",daily,2010-03-11 to 2026-05-20,2010-03-26 to 2026-05-20,57165.82,48.17,-83.25,0.94,169,56.21,6.16,8.0,27606.54,-90.46,27913.35,-81.66,48461.05,-66.18,8704.76,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10959,Multi-lookback vote rotation,"Vote (63, 126, 252), switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2011-03-11 to 2026-05-20,36957.52,47.6,-85.33,0.9,52,63.46,27.89,66.0,21083.68,-90.46,18932.92,-81.66,28255.29,-66.18,8702.22,True,SOXL/TQQQ chosen by majority of relative momentum windows; no costs/slippage.
10960,Multi-lookback vote rotation,"Vote (63, 126, 252), chosen/alternate above SMA200, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2011-03-11 to 2026-05-20,36957.52,47.6,-85.33,0.9,52,63.46,27.89,66.0,21083.68,-90.46,18932.92,-81.66,28255.29,-66.18,8702.22,True,SOXL/TQQQ chosen by majority of relative momentum windows; no costs/slippage.
10961,Relative momentum rotation,"84d return_minus_vol, skip 21d, chosen/alternate above SMA200, 5% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-08-11 to 2026-05-20,49769.51,48.27,-82.41,0.92,83,57.83,15.62,28.0,41866.94,-90.46,35227.18,-81.66,41069.8,-66.18,8699.71,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10962,Relative momentum rotation,"126d return_minus_vol, skip 10d, chosen/alternate above SMA100, 2% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-09-24 to 2026-05-20,49763.27,48.72,-83.45,0.92,100,53.0,13.98,24.5,37590.17,-90.46,27259.68,-81.66,41069.8,-66.18,8693.47,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10963,Relative momentum rotation,"21d return_minus_vol, skip 5d, chosen/alternate above SMA50, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-04-20 to 2026-05-20,57153.35,48.42,-79.45,0.94,124,47.58,10.48,5.5,21522.96,-90.46,25143.23,-81.66,48461.05,-66.18,8692.3,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10964,Relative momentum rotation,"126d return_minus_half_vol, skip 5d, chosen/alternate above SMA50",daily,2010-03-11 to 2026-05-20,2010-09-17 to 2026-05-20,49761.0,48.64,-85.64,0.92,254,53.94,4.15,5.0,41319.15,-90.46,29985.02,-81.66,41069.8,-66.18,8691.2,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
10965,Relative momentum rotation,"5d return, skip 5d, chosen/alternate above SMA100",daily,2010-03-11 to 2026-05-20,2010-03-26 to 2026-05-20,57150.48,48.17,-85.21,0.9,809,57.35,1.46,5.0,27606.54,-90.46,27913.35,-81.66,48461.05,-66.18,8689.43,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
